2025-09-03 02:45:28,450 - __main__ - INFO - ✅ 已创建systemd服务文件: /etc/systemd/system/lxd-flow-continuity.service
2025-09-03 02:45:28,451 - __main__ - INFO - 启用服务: sudo systemctl enable lxd-flow-continuity
2025-09-03 02:45:28,451 - __main__ - INFO - 启动服务: sudo systemctl start lxd-flow-continuity
2025-09-03 02:45:30,311 - __main__ - INFO - ============================================================
2025-09-03 02:45:30,313 - __main__ - INFO - 流量连续性守护进程
2025-09-03 02:45:30,313 - __main__ - INFO - ============================================================
2025-09-03 02:45:30,314 - flow_manager - INFO - 流量管理数据库初始化完成
2025-09-03 02:45:30,357 - __main__ - INFO - 启动流量连续性守护进程，检查间隔: 60秒
2025-09-03 02:45:31,023 - __main__ - INFO - 收到信号 15，正在停止守护进程...
2025-09-03 02:46:06,036 - __main__ - INFO - ============================================================
2025-09-03 02:46:06,038 - __main__ - INFO - 流量连续性守护进程
2025-09-03 02:46:06,038 - __main__ - INFO - ============================================================
2025-09-03 02:46:06,040 - flow_manager - INFO - 流量管理数据库初始化完成
2025-09-03 02:46:06,432 - __main__ - INFO - 启动流量连续性守护进程，检查间隔: 300秒
2025-09-03 02:56:06,439 - __main__ - INFO - 健康检查: 总检查 2, 成功率 100.0%
2025-09-03 03:06:06,755 - __main__ - INFO - 健康检查: 总检查 4, 成功率 100.0%
2025-09-03 03:21:06,530 - __main__ - INFO - 健康检查: 总检查 7, 成功率 100.0%
2025-09-03 03:31:06,667 - __main__ - INFO - 健康检查: 总检查 9, 成功率 100.0%
2025-09-03 03:41:06,670 - __main__ - INFO - 健康检查: 总检查 11, 成功率 100.0%
2025-09-03 03:51:06,779 - __main__ - INFO - 健康检查: 总检查 13, 成功率 100.0%
2025-09-03 04:06:06,630 - __main__ - INFO - 健康检查: 总检查 16, 成功率 100.0%
2025-09-03 04:21:06,659 - __main__ - INFO - 健康检查: 总检查 19, 成功率 100.0%
2025-09-03 04:31:06,659 - __main__ - INFO - 健康检查: 总检查 21, 成功率 100.0%
2025-09-03 04:41:06,660 - __main__ - INFO - 健康检查: 总检查 23, 成功率 100.0%
2025-09-03 04:51:06,678 - __main__ - INFO - 健康检查: 总检查 25, 成功率 100.0%
2025-09-03 05:01:06,764 - __main__ - INFO - 健康检查: 总检查 27, 成功率 100.0%
2025-09-03 05:16:06,859 - __main__ - INFO - 健康检查: 总检查 30, 成功率 100.0%
2025-09-03 05:31:06,659 - __main__ - INFO - 健康检查: 总检查 33, 成功率 100.0%
2025-09-03 05:41:07,087 - __main__ - INFO - 健康检查: 总检查 35, 成功率 100.0%
2025-09-03 05:56:06,680 - __main__ - INFO - 健康检查: 总检查 38, 成功率 100.0%
2025-09-03 06:06:06,730 - __main__ - INFO - 健康检查: 总检查 40, 成功率 100.0%
2025-09-03 06:21:06,761 - __main__ - INFO - 健康检查: 总检查 43, 成功率 100.0%
2025-09-03 06:36:06,730 - __main__ - INFO - 健康检查: 总检查 46, 成功率 100.0%
2025-09-03 06:51:06,730 - __main__ - INFO - 健康检查: 总检查 49, 成功率 100.0%
2025-09-03 07:01:06,751 - __main__ - INFO - 健康检查: 总检查 51, 成功率 100.0%
2025-09-03 07:16:06,661 - __main__ - INFO - 健康检查: 总检查 54, 成功率 100.0%
2025-09-03 07:26:06,681 - __main__ - INFO - 健康检查: 总检查 56, 成功率 100.0%
2025-09-03 07:36:06,729 - __main__ - INFO - 健康检查: 总检查 58, 成功率 100.0%
2025-09-03 07:51:06,663 - __main__ - INFO - 健康检查: 总检查 61, 成功率 100.0%
2025-09-03 08:01:06,754 - __main__ - INFO - 健康检查: 总检查 63, 成功率 100.0%
2025-09-03 08:16:06,730 - __main__ - INFO - 健康检查: 总检查 66, 成功率 100.0%
2025-09-03 08:31:06,661 - __main__ - INFO - 健康检查: 总检查 69, 成功率 100.0%
2025-09-03 08:41:06,749 - __main__ - INFO - 健康检查: 总检查 71, 成功率 100.0%
2025-09-03 08:56:06,831 - __main__ - INFO - 健康检查: 总检查 74, 成功率 100.0%
2025-09-03 09:11:06,730 - __main__ - INFO - 健康检查: 总检查 77, 成功率 100.0%
2025-09-03 09:26:06,630 - __main__ - INFO - 健康检查: 总检查 80, 成功率 100.0%
2025-09-03 09:36:06,764 - __main__ - INFO - 健康检查: 总检查 82, 成功率 100.0%
2025-09-03 09:51:06,774 - __main__ - INFO - 健康检查: 总检查 85, 成功率 100.0%
2025-09-03 10:06:06,660 - __main__ - INFO - 健康检查: 总检查 88, 成功率 100.0%
2025-09-03 10:16:06,769 - __main__ - INFO - 健康检查: 总检查 90, 成功率 100.0%
2025-09-03 10:31:06,697 - __main__ - INFO - 健康检查: 总检查 93, 成功率 100.0%
2025-09-03 10:41:06,730 - __main__ - INFO - 健康检查: 总检查 95, 成功率 100.0%
2025-09-03 10:56:06,761 - __main__ - INFO - 健康检查: 总检查 98, 成功率 100.0%
2025-09-03 11:11:06,661 - __main__ - INFO - 健康检查: 总检查 101, 成功率 100.0%
2025-09-03 11:21:06,754 - __main__ - INFO - 健康检查: 总检查 103, 成功率 100.0%
2025-09-03 11:36:06,831 - __main__ - INFO - 健康检查: 总检查 106, 成功率 100.0%
2025-09-03 11:51:06,730 - __main__ - INFO - 健康检查: 总检查 109, 成功率 100.0%
2025-09-03 12:06:06,730 - __main__ - INFO - 健康检查: 总检查 112, 成功率 100.0%
2025-09-03 12:16:06,753 - __main__ - INFO - 健康检查: 总检查 114, 成功率 100.0%
2025-09-03 12:31:06,730 - __main__ - INFO - 健康检查: 总检查 117, 成功率 100.0%
2025-09-03 12:41:06,730 - __main__ - INFO - 健康检查: 总检查 119, 成功率 100.0%
2025-09-03 12:56:06,649 - __main__ - INFO - 健康检查: 总检查 122, 成功率 100.0%
2025-09-03 13:06:06,729 - __main__ - INFO - 健康检查: 总检查 124, 成功率 100.0%
2025-09-03 13:21:06,751 - __main__ - INFO - 健康检查: 总检查 127, 成功率 100.0%
2025-09-03 13:31:06,759 - __main__ - INFO - 健康检查: 总检查 129, 成功率 100.0%
2025-09-03 13:41:06,790 - __main__ - INFO - 健康检查: 总检查 131, 成功率 100.0%
2025-09-03 13:56:06,772 - __main__ - INFO - 健康检查: 总检查 134, 成功率 100.0%
2025-09-03 14:06:06,830 - __main__ - INFO - 健康检查: 总检查 136, 成功率 100.0%
2025-09-03 14:16:06,858 - __main__ - INFO - 健康检查: 总检查 138, 成功率 100.0%
2025-09-03 14:26:06,858 - __main__ - INFO - 健康检查: 总检查 140, 成功率 100.0%
2025-09-03 14:41:06,750 - __main__ - INFO - 健康检查: 总检查 143, 成功率 100.0%
